37;Lasanha, massa fresca, cozida;59,6;164;685;5,8;1,2;NA;32,5;1,6;0,9;10;4;0,2;42;1,2;207;54;0,07;0,4;NA;;;0,04;Tr;Tr;3,96;
38;Lasanha, massa fresca, crua;45;220;922;7;1,3;NA;45,1;1,6;1,6;17;13;0,34;82;1,9;667;137;0,1;0,8;NA;;;0,08;Tr;Tr;Tr;
39;Macarr?o, instant?neo;6;436;1824;8,8;17,2;NA;62,4;5,6;5,6;18;19;0,25;112;0,8;1516;148;0,1;0,5;NA;;;1,18;0,04;0,53;9,37;Tr
40;Macarr?o, trigo, cru;10,2;371;1553;10;1,3;NA;77,9;2,9;0,5;17;28;0,53;100;0,9;7;147;0,15;0,8;NA;;;0,18;0,02;Tr;3,57;Tr
41;Macarr?o, trigo, cru, com ovos;10,6;371;1550;10,3;2;18;76,6;2,3;0,5;19;Tr;0,4;118;0,9;15;134;0,14;0,8;Tr;;;0,11;0,05;0,03;4,37;Tr
42;Milho, amido, cru;12,2;361;1512;0,6;Tr;NA;87,1;0,7;0,1;1;3;0,02;13;0,1;8;9;0,02;0,1;NA;;;Tr;Tr;Tr;Tr;Tr
43;Milho, fubò, cru;11,5;353;1479;7,2;1,9;NA;78,9;4,7;0,6;3;41;0,34;108;0,9;Tr;168;0,08;1,1;NA;26;13;0,25;Tr;Tr;0,75;Tr
44;Milho, verde, cru;63,5;138;578;6,6;0,6;NA;28,6;3,9;0,7;2;33;0,12;113;0,4;1;185;0,05;0,5;NA;32;16;0,3;Tr;0,04;Tr;Tr
45;Milho, verde, enlatado, drenado;76,2;98;408;3,2;2,4;NA;17,1;4,6;1,1;2;20;0,09;61;0,6;260;162;0,05;0,5;NA;48;24;Tr;0,05;Tr;3,74;1,7
46;Mingau tradicional, p´;8,1;373;1562;0,6;0,4;NA;89,3;0,9;1,6;522;4;Tr;273;42;15;Tr;Tr;15,2;1533;;;3,41;Tr;3,11;19,39;Tr
47;Pamonha, barra para cozimento, pr?-cozida;61,3;171;716;2,6;4,8;NA;30,7;2,4;0,6;4;15;0,12;55;0,4;132;125;0,03;0,4;NA;;;Tr;Tr;Tr;Tr;Tr
48;P?o, aveia, forma;19,9;343;1435;12,4;5,7;Tr;59,6;6;2,5;109;57;1,08;182;4,7;606;210;0,14;1,7;Tr;;;0,09;0,03;0,08;Tr;Tr
49;P?o, de soja;26;309;1292;11,3;3,6;NA;56,5;5,7;2,5;90;48;0,57;153;3,3;663;296;0,16;1,5;NA;;;0,07;0,04;0,79;Tr;Tr
50;P?o, gl?ten, forma;40,7;253;1059;12;2,7;NA;44,1;2,5;0,5;156;24;0,51;105;5,7;22;65;0,06;1,3;NA;;;0,04;0,03;Tr;Tr;Tr
51;P?o, milho, forma;30,4;292;1222;8,3;3,1;6;56,4;4,3;1,8;78;29;0,37;110;3;507;89;0,1;0,8;Tr;;;0,08;Tr;0,08;Tr;Tr
52;P?o, trigo, forma, integral;34,7;253;1059;9,4;3,7;NA;49,9;6,9;2,3;132;60;1,62;193;3;506;163;0,15;1,6;NA;;;0,08;0,04;0,15;Tr;Tr
53;P?o, trigo, franc?s;28,5;300;1254;8;3,1;NA;58,6;2,3;1,8;16;25;0,46;95;1;648;142;0,13;0,8;3;;;0,39;0,67;0,6;2,34;
54;P?o, trigo, sovado;25,8;311;1301;8,4;2,8;17;61,5;2,4;1,5;52;22;0,31;101;2,3;431;91;Tr;2,7;Tr;;;0,08;0,04;0,15;Tr;Tr
55;Pastel, de carne, cru;34,4;289;1208;10,7;8,8;18;42;1;4,1;17;18;0,34;117;2;1309;166;0,11;1,7;Tr;;;0,06;0,03;Tr;1,58;Tr
56;Pastel, de carne, frito;22,9;388;1625;10,1;20,1;25;43,8;1;3,1;13;14;0,22;90;2,5;1040;156;0,12;1,2;Tr;;;0,06;0,05;Tr;1,83;
57;Pastel, de queijo, cru;31,3;308;1291;9,9;9,6;14;45,9;1,1;3,3;155;16;0,24;168;1;985;103;0,1;1;Tr;;;0,07;0,03;Tr;Tr;Tr
58;Pastel, de queijo, frito;17,5;422;1766;8,7;22,7;15;48,1;0,9;2,9;126;15;0,2;124;1,3;821;124;0,1;0,8;18;;;0,09;0,04;Tr;Tr;Tr
59;Pastel, massa, crua;27,1;310;1298;6,9;5,5;NA;57,4;1,4;3,2;13;14;0,38;73;1,1;1344;167;0,11;0,6;NA;;;0,15;Tr;Tr;Tr;
60;Pastel, massa, frita;1;570;2384;6;40,9;NA;49,3;1,3;2,8;11;13;0,36;62;1,4;1175;143;0,08;0,5;NA;;;0,16;Tr;Tr;Tr;
61;Pipoca, com ´leo de soja, sem sal;2,8;448;1876;9,9;15,9;NA;70,3;14,3;1;3;91;0,65;225;1,2;4;256;0,46;2;NA;;;0,03;0,03;Tr;Tr;Tr
62;Polenta, pr?-cozida;72,7;103;430;2,3;0,3;NA;23,3;2,4;1,4;1;4;Tr;17;Tr;442;100;0,04;0,1;NA;;;0,04;Tr;Tr;Tr;Tr
63;Torrada, p?o franc?s;9;377;1579;10,5;3,3;NA;74,6;3,4;2,6;19;32;0,55;114;1,2;829;189;0,16;0,9;NA;;;0,38;Tr;Tr;Tr;Tr
64;Ab´bora, cabotian, cozida;86,4;48;201;1,4;0,7;NA;10,8;2,5;0,7;8;9;0,26;33;0,3;1;199;0,06;0,3;NA;;;0,08;Tr;0,07;Tr;7,5
65;Ab´bora, cabotian, crua;88,5;39;161;1,7;0,5;NA;8,4;2,2;0,8;18;9;0,11;26;0,4;Tr;351;0,06;0,3;NA;446;223;Tr;Tr;0,1;Tr;5,1
66;Ab´bora, menina brasileira, crua;95,7;14;57;0,6;Tr;NA;3,3;1,2;0,4;9;4;0,01;12;0,2;Tr;165;0,02;Tr;NA;1108;554;0,07;Tr;0,04;Tr;1,5
67;Ab´bora, moranga, crua;95,9;12;52;1;0,1;NA;2,7;1,7;0,4;3;2;0,01;8;Tr;Tr;125;0,05;0,1;NA;278;139;Tr;Tr;0,06;Tr;9,6
68;Ab´bora, moranga, refogada;92,5;29;121;0,4;0,8;NA;6;1,5;0,4;19;7;0,02;12;0,1;3;183;0,04;0,1;NA;95;48;0,05;Tr;0,05;Tr;6,7
69;Ab´bora, pesco?o, crua;92,5;24;102;0,7;0,1;NA;6,1;2,3;0,6;9;7;0,07;32;0,3;1;264;0,09;0,2;NA;;;Tr;Tr;0,06;Tr;2,1
70;Abobrinha, italiana, cozida;95,3;15;63;1,1;0,2;NA;3;1,6;0,4;17;17;0,11;22;0,2;1;126;0,01;0,3;NA;;;0,05;Tr;0,06;Tr;2,1
71;Abobrinha, italiana, crua;93,9;19;81;1,1;0,1;NA;4,3;1,4;0,6;15;20;0,09;32;0,2;Tr;253;0,05;0,2;NA;41;20;Tr;0,06;0,03;Tr;6,9
72;Abobrinha, italiana, refogada;93,5;24;102;1,1;0,8;NA;4,2;1,4;0,4;21;13;0,14;32;0,4;2;194;0,02;0,3;NA;42;21;0,04;Tr;Tr;Tr;7,5
73;Abobrinha, paulista, crua;90,9;31;129;0,6;0,1;NA;7,9;2,6;0,5;19;9;0,11;33;0,2;1;213;0,1;0,2;NA;;;Tr;Tr;0,03;Tr;17,5
74;Acelga, crua;93,2;21;88;1,4;0,1;NA;4,6;1,1;0,6;43;10;0,11;40;0,3;1;240;0,1;0,3;NA;;;0,04;Tr;0,16;Tr;22,6
75;Agri?o, cru;93,9;17;69;2,7;0,2;NA;2,3;2,1;0,9;133;18;0,28;51;3,1;7;218;0,1;0,7;NA;458;229;0,11;0,23;0,09;1,19;60,1
76;Aipo, cru;93,8;19;80;0,8;0,1;NA;4,3;1;1,1;65;9;0,18;28;0,7;10;274;0,31;0,1;NA;916;458;Tr;Tr;0,18;Tr;5,9
77;Alface, americana, crua;97,2;9;37;0,6;0,1;NA;1,7;1;0,3;14;6;0,12;19;0,3;7;136;0,02;0,2;NA;;;0,03;Tr;0,04;Tr;11
78;Alface, crespa, crua;96,1;11;45;1,3;0,2;NA;1,7;1,8;0,7;38;11;0,2;26;0,4;3;267;0,03;0,3;NA;234;117;0,11;0,12;Tr;1,09;15,6
